"","A1-30_1","A1-30_2","A1-30_3","A1-22_1","A1-22_2","A1-22_3","WT-30_1","WT-30_2","WT-30_3","WT-22_1","WT-22_2","WT-22_3"
"E9Q9F7|CC146_MOUSE",12.3570955921543,10.633888787604,10.0831550775742,11.9449074813823,12.3413476049581,12.887031315976,11.0939489520027,13.530698821428,9.85532149075588,14.43636273157,14.7981570257008,14.7464463520578
"F8VPN2|TEX15_MOUSE",15.0315200294884,16.8618830529723,13.8943457225029,15.2775567177851,14.874865535616,11.8285858081667,13.7956392216302,14.1388055741331,14.8061935360528,14.2821991427346,12.6960159897838,13.9815478389234
"F8VPQ2|ARI4A_MOUSE",12.5401457209348,12.6756848705422,12.7296722947649,12.6093151966001,13.6468249721672,15.7336854692995,12.7205250519347,12.5583849802931,13.6309536071463,12.9638578487497,12.4758636121102,12.9147629491783
"G3UW82|MYH2_MOUSE",20.4162920142734,19.8255442319244,19.7175956025193,21.1281132967114,20.635924257521,21.7114765897251,19.4700797957734,19.9838549350877,19.9525922477462,20.6936766676454,20.4027819433515,20.4904554740539
"G3UYQ4|KAD9_MOUSE",17.1336908067281,14.6550399959372,11.7214369603099,15.0096319889604,16.6282604066986,15.7542395319121,12.2954937402073,12.8885119121596,13.126499949921,12.4387632686397,11.9740637142515,11.9309417541501
"G3X8U3|QNG1_MOUSE",16.1253136722832,16.2676592345411,16.1755366081129,16.6158343547994,16.4457522080759,14.4348832045792,15.5608131549749,16.202680380284,14.9984009137341,15.9003658900492,17.0445886813643,14.4469229034994
"G3X9J0|SI1L3_MOUSE",10.6475270211282,11.4354744449635,12.9595769190111,10.1386760391458,10.0218326291025,16.134628262535,NA,NA,NA,NA,NA,NA
"G5E8P0|GCP6_MOUSE",10.3986434223303,11.6032654608402,15.0282650710128,13.9463693663007,13.7936288102129,10.7906022290995,15.4339125336037,15.9545411271015,14.8576401528471,15.1782648600174,11.48611701417,15.7977117761542
"J3QMK6|AL3B3_MOUSE",14.6863260888545,14.8319079117492,14.8907898946205,15.5118479450744,15.2729179015918,15.6563303620933,14.6769410544545,13.5902635299792,15.2535001359087,16.2133184202527,15.1128494013553,14.8401201930512
"J9SQF3|TRPM3_MOUSE",13.1507781319206,15.2982814548758,13.9105947217672,14.4240599727663,12.9913105060154,13.634193689608,13.6430648574367,10.0013945186174,11.2113400121263,10.2274116580378,11.1106218247056,15.339739514485
